Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility,Mitarbeiter-Name,Mitarbeiter-Position,Mitarbeiter-Contact
Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility,Mitarbeiter-Name,Mitarbeiter-Position,Mitarbeiter-Contact
Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility,Mitarbeiter-Name,Mitarbeiter-Position,Mitarbeiter-Contact
ABAG NUTZFAHRZEUGE AG,Servicepartner,"Hühnerhubelstrasse 87, 3123 Belp, Schweiz, , ",+41 (0)31 818 14 14,+41 (0)31 818 14 19,info@abag.ch,http://www.abag.ch,yes,yes,yes,,,yes,,yes,,,,,,,,,yes,,,,,,,,
ABAG NUTZFAHRZEUGE AG,Servicepartner                      Verkaufsstandort des Händlers -ABAG Nutzfahrzeuge AG-,"Zelgstrasse 87, 3661 Uetendorf, Schweiz, , ",+41 (0)33 345 81 81,+41 (0)33 345 81 83,info@abag.ch,http://www.abag.ch,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,
ALFAG EGERKINGEN AG,Servicepartner,"Industriestraße 1, 4622 Egerkingen, Schweiz, , ",+41 (62) 389 05 05,+41 (62) 389 05 06,alfag@alfag-egerkingen.ch,http://www.alfag-egerkingen.ch,yes,yes,yes,,,yes,,yes,,,,,,,,,yes,,,,,,,,
ALFAG WEINFELDEN AG,Servicepartner,"Amriswilerstraße 108, 8570 Weinfelden, Schweiz, , ",+41 (71) 626 60 30,+41 (71) 626 60 32,info@alfag.ch,http://www.alfag.ch,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,,Hansruedi Burkhardt,Geschäftsführer,"Telefon: +41 (71) 626 60 30 ,                Mobil: +41 (76) 370 36 50 ,                Fax: +41 (71) 626 60 32 ,                E-Mail: hr.burkhard@alfag.ch ,            ",Robert Steiger,Betriebsleiter,"Telefon: +41 (71) 626 60 30 ,                Mobil: +41 (0)79 308 93 90 ,                Fax: +41 (71) 626 60 32 ,                E-Mail: r.steiger@alfag.ch ,            "
AUTO AG TRUCK LIMMATTAL,Servicepartner,"Im Gewerbepark 1, 8104 Weiningen, Schweiz, , ",+41 (0) 44 747 47 70,,,,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,,Urs Ritter,Geschäftsführer,"Telefon: +41 (0) 79 300 35 80 ,                Mobil: - ,                Fax: - ,                E-Mail: u.ritter@autoag.ch ,            ",Jürg Brotschi,Leiter VerkaufVerkäufer LKW,"Telefon: +41 (44) 747 47 70 ,                Mobil: +41 (76) 315 71 15 ,                Fax: - ,                E-Mail: juerg.brotschi@nater.ch ,            ",Leo Stöckli,Verkäufer LKW,"Telefon: +41 (44) 47 71 ,                Mobil: +41 (79) 661 25 56 ,                Fax: - ,                E-Mail: leo.stoeckli@autoag.ch ,            ",Sabitha Murugesu,Auftragszentrum Verkauf,"Telefon: +41 (44) 747 47 74 ,                Mobil: - ,                Fax: - ,                E-Mail: s.murugesu@autoag.ch ,            ",Marijan Stefanov,Werkstattmeister,"Telefon: +41 (0) 44 747 4784  ,                Mobil: - ,                Fax: +41 (0) 44 747 4799 ,                E-Mail: marijan.stefanov@autoag.ch ,            ",Sandro Lüthi,Servicemitarbeiter,"Telefon: +41 (0) 44 747 4780  ,                Mobil: +41 (0) 79 788 1695 ,                Fax: +41 (0) 44 747 4799 ,                E-Mail: sandro.luethi@autoag.ch ,            ",Kevin Klaus,Leiter Teile und Zubehör,"Telefon: +41 (0) 44 747 4790 ,                Mobil: +41 (0) 79 647 6232 ,                Fax: +41 (0) 44 747 4799 ,                E-Mail: kevin.klaus@autoag.ch ,            ",Paul Koller,Betriebsleiter,"Telefon: +41 (0) 44 747 4777 ,                Mobil: +41 (0) 79 671 4618 ,                Fax: +41 (0) 44 747 4799 ,                E-Mail: paul.koller@autoag.ch ,            "
AUTORIMESSA NEPPLE SA BELLINZONA,Servicepartner                      Verkaufsstandort des Händlers -Garage Nepple AG Basel-,"Viale Stefano Franscini 30, 6501 Bellinzona, Schweiz, , ",+41 (91) 820 25 00,+41 (91) 820 25 01,bellinzona@garage-nepple.ch,http://www.garage-nepple.ch,yes,yes,yes,,,,,yes,,,,,,,,,yes,,,,,,,,
BUCHARD ATELIER - CARROSSERIE BUS & CARS,Servicepartner,"Route de Saillon 69, 1912 Leytron, Schweiz, , ",+41 (27) 306 19 96,,garage@buchard.ch,http://www.atelier-bus-cars.ch,yes,yes,yes,,,,,,,,,,,,,,yes,,,,,,,,
CAMIONREP AG STUDEN,Servicepartner,"Sägeweg 8, 2557 Studen, Schweiz, , ",+41 (32) 374 74 20,+41 (32) 374 74 21,info@camionrep.ch,http://www.camionrep.ch,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,Michael Haas,Leiter Werkstatt,"Telefon: +41 (0)32 374 74 38  ,                Mobil: +41 (0)79 367 21 76 ,                Fax: +41 (0)32 374 74 21 ,                E-Mail: michael.haas@camionrep.ch ,            ",Urs Stäheli,MA Buchhaltung LKWBetriebsleiter,"Telefon: +41 (0)32 374 74 24  ,                Mobil: +41 (0)76 339 25 26 ,                Fax: +41 (0)32 374 74 21 ,                E-Mail: urs.staeheli@camionrep.ch ,            ",Tolga Oezmen,Leiter Teile und Zubehör,"Telefon: +41 (32) 374 74 29 ,                Mobil: +41 (78) 840 63 50 ,                Fax: +41 (32) 374 74 21 ,                E-Mail: tolga.oezmen@camionrep.ch ,            "
ETPL SA,Servicepartner,"route du Bois-de-Bay 16, 1242 Satigny, Schweiz, , ",+41 (0)22 939 04 00,+41 (0)22 939 04 10,24/24@ETPL.ch,http://www.etpl.ch,yes,yes,yes,,,,,yes,,,,,,,,,,,,,,,,,
FRITZ GLAUS & CO. AG,Servicepartner,"Grundstraße 36, 5012 Schönenwerd, Schweiz, , ",+41 (62) 858 68 78,+41 (62) 858 68 82,info@glaus.ch,http://www.glaus.ch,yes,no,yes,,,,,yes,,,,,,,,,,,,,,,,,
