Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
AAA TRUCKSERVICE,Servicepartner      Verkaufsstandort des Händlers -MAN Truck and Bus RUS (Head Office)-,"Kuznetsy 58D, 68 км М7, 142542 Pavlovskiy Posad, Russland, , ",+7(495)777-77-36,,man@man-ts.ru,http://ak36.ru,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





ALT AVTO SERVICE,Servicepartner,"Popova str, 181, 656922 Barnaul, Russland, , ",+7 (3852)555385,+7 (3852)22-3663,altavto@mail.ru,http://www.man-altay.ru/,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





AUTOPORT,Servicepartner      Verkaufsstandort des Händlers -MAN Truck and Bus RUS (Head Office)-,"Kornilova st., 15a, 690018 Vladivostok, Russland, , ",+7(914) 348 4444,,director@vladman.ru,http://www.vladman.ru,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





AVTO FLOT,Servicepartner,"Voronezhskaya Ulitsa, 41 1, 614113 Perm, Russland, , ",+7(342) 250-1105,+7(342)250-1699,man-truck-autoflot@mail.ru,http://www.aston-perm.ru,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





AVTOCENTER,Servicepartner      Verkaufsstandort des Händlers -MAN Truck and Bus RUS (Head Office)-,"Oktyabrya prospekt, 87a, 150044 Yaroslavl, Russland, , ",+7 (4852) 67 27 38,+7 (4852) 73 88 66,man@post76.ru,http://www.avdis-truck.ru/,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





BAW-DVIZHENIE,Servicepartner      Verkaufsstandort des Händlers -MAN Truck and Bus RUS (Head Office)-,"lane Zheltaya Gora, 1, XXXXXX Kola, Russland, , ",+7(8152)21-08-1,,s.kalinin@tpas.ru,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





BRATSKMANSERVICE,Servicepartner,"Irkutsk region, Tsentralnyi zhilrayon, P 10 72 03 01, 665700 Bratsk, Russland, , ",+7(964)105-9888,,man.bratsk@mail.ru,http://baikalmanservice.ru/,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





EVROAZIA-TRUCK,Servicepartner,"Severnaya str., 39a, 625501 Tjumen, Russland, , ",+7(3452) 39-9955,+7(3452) 68-0931,truck@euroazia.ru,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





EVROTRUCK CENTER CHERNOZEMIE,Servicepartner,"Prospekt Patriotov, 49G, 394065 Voronezh, Russland, , ",+7(473)2007373,,man_service@mail.ru,https://vrn-man.ru/,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





EVROTRUCK CENTER CHERNOZEMIE,Servicepartner      Verkaufsstandort des Händlers -MAN Truck and Bus RUS (Head Office)-,"selo Rogachevka ul. Mira d.46, 396321 Voronezh, Russland, , ",+7 (473) 2007373,,info@vrn-man.ru,https://vrn-man.ru/,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





