Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ATHENRY TRUCK CENTRE,Servicepartner,"TYSAXON, - ATHENRY, Irland, , ",+353 (91) 849375,+353(91)849411,info@athenryrefridgeration.com,http://www.athenrytruck.com/,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,





D DENNEHY LTD,Servicepartner,"Carrigtwohill, Co Cork Cork, Irland, , ",+353(021)4883300,+353(021)4883656,service@dennehytrucks.ie,http://dennehytrucks.ie,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,





DENNEHY COMMERCIALS LIMERICK LIMITED,Servicepartner,"Riverside Park, Dock Road, - Limerick, Irland, , ",+353 (61)22 99 00,+353 (61) 30 22 07,info@dennehycommercials.com,http://www.dennehycommercials.com/,yes,no,yes,,,yes,,yes,,,yes,,yes,,,,,,,,,,,,





M.S. COMMERCIALS LTD.,Servicepartner,"New Ross, - Wexford, Irland, , ",+353 (51)42 22 77,+353 (51) 42 16 06,mscommercials@eircom.net,http://mscommercialsltd.ie/,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





MAN IMPORTERS IRELAND LTD,Servicepartner,"Oak Close, Oak Road Business Park, Nangor Road, - Dublin, Irland, , ",+353 (1) 4191300,+353 (1) 41913 70,enquiries@mantrucks.ie,http://www.mantrucks.ie,yes,yes,yes,yes,yes,yes,yes,yes,,,yes,yes,,,,,,,,,,,,,





NEWTOWN TRUCKS,Servicepartner,"Main Street, Newtowncunningham, - Donegal, Irland, , ",+353 (74)9156666,+353 (74) 9156666,newtowntrucks@eircom.net,http://www.newtowntrucks.ie/,yes,no,yes,,,yes,,yes,,,yes,,,,,,,,,,,,,,





O´REILLY COMMERCIALS LTD.,Servicepartner,"Ballinalack, - Mullingar, Co. West Meath, Irland, , ",+353 (44) 9371360,+353 (44) 93715 34,sales@oreillycommercials.com,http://www.oreillycommercials.com/,yes,no,yes,,,yes,,yes,,,yes,,,,,,,,,,,,,,





WALKER COMMERCIALS CORK,Servicepartner,"Mondaniel Business Park, Mondaniel, Rathcormac, Cork, Irland, , ",+353(0)2587770,+353(0)2587769,info@walkers.ie,http://www.walkers.ie,yes,no,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





