Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
"ALCODIESEL, S.L.",Servicepartner,"Avda. Picasent; 8, 02600 Villarrobledo, Spanien, , ",+34 (967) 14 02 92,+34 (967) 14 64 11,jefepostventa.es0075@es.man-mn.com,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,





"AUTODIESEL DE IRURZUN, S.L.",Servicepartner,"Pol. Ind. Akaborro, C/ B nº1, 31860 Irurzun, Spanien, , ",+34 (948) 50 00 02,+34 (948) 60 04 40,administracion.es0046@es.man-mn.com,http://red.maniberia.net/autodiesel-irurzun/,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,





"AUTOMOCIO JOAN CARLES, S.L.",Servicepartner,"Pl. Ind. Les Peixeres C/ Industria 1, 3, 5, 7 y 9, 25310 Agramunt, Spanien, , ",+34 (973) 39 03 22,+34 (973) 39 26 13,administracion.es0224@es.man-mn.com,http://www.automociojoancarles.com,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,





"AUTOMOCIÓN RIBERSA, S.L.",Servicepartner,"Ctra. Nacional, 340 - Km. 695 Autovía 7 Salida 541, 03350 Cox, Spanien, , ",+34 (96) 536 02 73,+34 (96) 675 00 16,administracion.es0048@es.man-mn.com,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,





"AUTOMOCIÓN RUBIO RODRIGO, S.A.","Servicepartner      Verkaufsstandort des Händlers -MAN Truck & Bus Iberia, Center Madrid Norte-","P.I. Torrehierro. Calle Doctor Fleming, 375, 45600 Talavera de la Reina, Spanien, , ",+34 (925) 85 10 85,+34 (925) 81 75 06,jefepostventa.es0295@es.man-mn.com,http://red.maniberia.net/automocion-rubio-rodrigo/,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,





"AUTOMOCIÓN RUBIO RODRIGO, S.A. (MANZANARES)","Servicepartner      Verkaufsstandort des Händlers -MAN Truck & Bus Iberia, Center Madrid Norte-","Industrial XII, 13200 Manzanares, Spanien, , ",+34(925)851085,,javier.rubio@rubiorodrigo.es,http://red.maniberia.net/automocion-rubio-rodrigo/,yes,yes,yes,,,yes,,yes,,,yes,,yes,,,,,,,,,,,,





"AUTOTRACTOR MATÍAS GRAU, S.L.",Servicepartner,"Camí del Polvori, s/n, 08503 Gurb, Spanien, , ",+34 (93) 889 10 69,+34 (93) 886 61 86,administracion.es0049@es.man-mn.com,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,





"CASCOTRUCK, S.L.",Servicepartner,"Pol. Ind. El Portal, Parc. 137, 11408 Jerez de la Frontera, Spanien, , ",+34 (956) 14 57 56,,jefepostventa.es0277@es.man-mn.com,,yes,yes,yes,,,yes,,yes,,,yes,,yes,,,,,,,,,,,,





CASTELLÓN VEHICULOS IND. S.A.,Servicepartner,"Camino San Jaime, 30 - Ciudad del Transporte, 12006 Castellón, Spanien, , ",+34 (964) 34 27 30,+34 (964) 24 67 46,administracion.es0002@es.man-mn.com,,yes,yes,yes,,,yes,,yes,,,yes,,yes,,,,,,,,,,,,
Julio Esteve,Geschäftsführer,Telefon: +34 (964) 34 27 30,Mobil: -,Fax: +34 (964) 24 67 46,E-Mail: gerencia.es0002@es.man-mn.com,            





"COM. VEH. IND. DE GALICIA, S.L",Servicepartner,"Consorcio Zona Franca de Vigo - Par. 181, 182 y 183 - Pol. Ind. A Granxa, 36475 Porriño, Spanien, , ",+34 (986) 34 20 50,+34 (986) 34 20 60,administracion.es0011@es.man-mn.com,http://red.maniberia.net/covigal/,yes,yes,yes,,,yes,,yes,,,,,,,,,,,,,,,,,
Jose Luis Duran,Leiter Werkstatt,Telefon: +34 (986) 34 20 51,Mobil: -,Fax: +34 (986) 34 20 60,E-Mail: joseluis.duran@es.man-mn.com,            
Angel Dominguez Dominguez,MA Innendienst LKW,Telefon: +34 (986) 34 20 50,Mobil: -,Fax: +34 (986) 34 20 60,E-Mail: angel.dominguez@es.man-mn.com,            





