Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
MAN AUTOMOTIVE CONCESSIONAIRES CORP. (BINAN),Servicepartner      Verkaufsstandort des Händlers -MAN Automotive Concessionaires Corp.(MACC)-,"Gen. Malvar, Barangay Tubigan, 4024 Binan, Laguna, Philippinen, , ",+63(917) 8576222,+63(2) 9840002 - 112,info@mantruckandbus.ph,http://www.mantruckandbus.ph,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MAN AUTOMOTIVE CONCESSIONAIRES CORP. (CEBU),Servicepartner      Verkaufsstandort des Händlers -MAN Automotive Concessionaires Corp.(MACC)-,"UN Avenue Alang-Alang, 6014 Mandaue City Cebu, Philippinen, , ",+63(32) 2360557,,service.cebu@mantruckandbus.ph,http://www.mantruckandbus.ph,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MAN AUTOMOTIVE CONCESSIONAIRES CORP. (EDSA),Servicepartner      Verkaufsstandort des Händlers -MAN Automotive Concessionaires Corp.(MACC)-,"EDSA cor. Seminary Road, 1106 Bahay Toro, Quezon City, Philippinen, , ",+63 (2) 9292441,+63 (2) 9292441 -132,info@mantruckandbus.ph,http://www.mantruckandbus.ph,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





MAN AUTOMOTIVE CONCESSIONAIRES CORP. (NOVALICHES),Servicepartner      Verkaufsstandort des Händlers -MAN Automotive Concessionaires Corp.(MACC)-,"391 Km 14., Quirino Highway, 1116 Talipapa Novaliches, Quezon City, Philippinen, , ",+63 (2) 9840002,+63(2) 9840002 - 112,info@mantruckandbus.ph,http://www.mantruckandbus.ph,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





YORMAN TRUCK CENTER (CAGAYAN DE ORO CITY),Servicepartner      Verkaufsstandort des Händlers -MAN Automotive Concessionaires Corp.(MACC)-,"Yorman Compound, Igpit Diversion Road, 9106 Barra, Opol, Misamis Oriental, Philippinen, , ",+63(917)8795855,+63(2)9292441,inquiry.cdo@mantruckandbus.ph,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





