Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ALL TRUCK REPAIRS LTD,Servicepartner,"26 South End Avenue, 0110 Whangarei, Neuseeland, , ",+64(9)4300803,,admin@alltruck.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





COMMERCIAL VEHICLE CENTRE DUNEDIN,Servicepartner,"12 Strathallan Street, 9012 Dunedin, Neuseeland, , ",+64(3)4556449,,lindsay.affleck@cvc.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





COMMERCIAL VEHICLE CENTRE INVERCARGILL,Servicepartner,"181 North Road, 9810 Invercargill, Neuseeland, , ",+64(3)2158250,,invworkshop@cvc.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





DUDLEY MECHANICAL PREPS LTD,Servicepartner,"24 Manuka Street, 3378 Taupo, Neuseeland, , ",+64(7)3772411,,dmpltd@xtra.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





HYDRADIESEL ENGINEERING LTD,Servicepartner,"75 Port Road, 5010 Lower Hutt, Neuseeland, , ",+64(4)9396204,,admin@hydradiesel.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





JIM YOUNG MOTORS LTD,Servicepartner,"590 Main North Road, 590 Main North Road Napier, Neuseeland, , ",+64(6)8366126,,young.motors@xtra.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





LLOYD HESLOP MOTORS,Servicepartner,"7 Kotua Place, 7011 Richmond, Neuseeland, , ",+64(3)5439400,,,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MOBILE MECHANICAL SOLUTIONS,Servicepartner,"21 Bisley Street, 4412 Palmerston North, Neuseeland, , ",+64(06)3578980,,greg@mobmech.nz.co,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PENSKE COMMERCIAL VEHICLES - CHRISTCHURCH,Servicepartner,"2 Headquarters Place, 8042 Christchurch, Neuseeland, , ",+64(3)3764305,,info@penskenz.com,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





PENSKE COMMERCIAL VEHICLES MNZA,Servicepartner,"4 Langley Rd, 2104 Wiri, Neuseeland, , ",+64 (9) 252 0910,,jcann@man.co.nz,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE COMMERCIAL VEHICLES MT MANGANUI,Servicepartner,"28 - 32 MacDonald Street, 3116 Mount Maunganui, Neuseeland, , ",+64(7)5723060,,bwarner@tcv.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





QUEENSTOWN COMMERCIAL VEHICLE SERVICES,Servicepartner,"131 Gorge Road, 9300 Queenstown, Neuseeland, , ",+64(3)4428203,,michael@qcvs.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ROSS GRAHAM MOTORS,Servicepartner,"45 Henwood Road, 4310 New Plymouth, Neuseeland, , ",+64(6)7552150,,ross.graham_motors@xtra.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





WHITE BROS PANELWORKS LTD,Servicepartner,"9 Clow Place, 3206 Hamilton, Neuseeland, , ",+64(7)8432929,,paul@whitebros.co.nz,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





