Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ADIVEL CAMINHOES,Servicepartner,"RUA CASPER LIBERO, 252, 11350-160 SAO VICENTE, Brasilien, , ",+55(13)34652000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





ADIVEL CAMINHOES,Servicepartner,"ESTRADA GALVAO BUENO, 6597, 09842-080 SAO BERNARDO DO CAMPO, Brasilien, , ",+55(11)43599000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





AUTO AGRICOLA PASSO FUNDO,Servicepartner,"Rodovia Rst 153, Km 0, 99034-600 Passo Fundo, Brasilien, , ",+55(54)33164900,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





AUTOBAHN CAMINHOES,Servicepartner,"Rodovia Br 101 Norte, S/N, Km 265, 29160-001 Serra, Brasilien, , ",+55(27)33981800,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





AUTOPATOS CAMINHOES,Servicepartner,"AV.JUSCELINO KUBITSCHEK DE OLIVEIRA,2222, 38706-000 PATOS DE MINAS, Brasilien, , ",+55(34)38181500,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BELCAR CAMINHOES,Servicepartner,"ROD. BR.153 - KM.1282 - S/N, 74815-070 GOIANIA, Brasilien, , ",+55(62)32399600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BELCAR CAMINHOES,Servicepartner,"Via Expressa Julio Borges De Souza, 6540, 75500-000 Itumbiara, Brasilien, , ",+55(64)34046006,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BRAVO CAMINHHOES,Servicepartner,"Avenida Governador Nilo Coelho, 46430-000 Guanambi, Brasilien, , ",+55(77)34518850,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BRAVO CAMINHOES,Servicepartner,"Av.Dep. Luis Eduardo Magalhaes, 1095, 44135-000 Salvador, Brasilien, , ",+55(75)21019600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BRAVO CAMINHOES,Servicepartner,"AV ANTONIO CARLOS MAGALHAES, 2.200, 47801-285 BARREIRAS, Brasilien, , ",+55(77)36119150,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BRAVO CAMINHOES,Servicepartner,"RODOVIA BR 324 KM 8,5 NO. 8890, 41233-030 Salvador, Brasilien, , ",+55(71)33909600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BRAVO CAMINHOES,Servicepartner,"Rodovia Br 101, S/N, 45601-560 Itabuna, Brasilien, , ",+55(73)21029600,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BREITKOPF CAMINHOES,Servicepartner,"RODOVIA BR 101 KM 116, N. 3200, 88311-600 ITAJAI, Brasilien, , ",+55(47)33461119,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BREITKOPF CAMINHOES,Servicepartner,"Rodovia Br 282 Km 223,5, 88514-700 Lages, Brasilien, , ",+55(49)32260066,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BREITKOPF CAMINHOES,Servicepartner,"Rod.Br 101 Km 47 N.3300, 89233-190 Joinville, Brasilien, , ",+55(47)34261515,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BURITI CAMINHOES,Servicepartner,"Rua Da Beira, S/N, 76812-241 Porto Velho, Brasilien, , ",+55(69)32166000,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BURITI CAMINHOES,Servicepartner,"Av. Celso Mazutti, 2735, 76980-970 Vilhena, Brasilien, , ",+55(69)33221530,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





CENTRO DE TREINAMENTO MAN LATIN AMERICA,Servicepartner,"Rua Eng. Alan da Costa Batista, 27570000 Porto Real, Brasilien, , ",+55(24)33811133,,robertoaguiar@asti.eng.br,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,
Roberto Aguiar,Management,Telefon: +55(11)43414602,                Mobil: -,                Fax: -,                E-Mail: robertoaguiar@asti.eng.br,            





CEQUIP IMPORTA.,Servicepartner,"ROD. SANTOS DUMONT, 3439 - KM 13, 60873-815 FORTALEZA, Brasilien, , ",+55(85)34444444,,fabio.campos3@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





CHIAPETTI & CIA,Servicepartner,"RODOVIA PR 323 KM 304, 87507-000 UMUARAMA, Brasilien, , ",+55(44)36219997,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





CHIAPETTI & CIA,Servicepartner,"Rodovia Br 487 - Km 193,8, 87301-450 Campo Mourao, Brasilien, , ",+55(44)35243001,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





COMERCIO DE AUTOMOVEIS TUBARAO,Servicepartner,"R.Dep.Olices P.De Caldas,690-Br101-Km336, 88704-170 Tubarao, Brasilien, , ",+55(48)36216666,,ronaldo.brunkhorst@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





COTALI CAMINHOES,Servicepartner,"RUA MIGUEL GUIDOTTI, 2.095, KM 150, 13480-970 LIMEIRA, Brasilien, , ",+55(19)34048080,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





COTAVE COMERC,Servicepartner,"AV. TARRAF, 3210-A, 15057-430 SAO JOSE DO RIO PRETO, Brasilien, , ",+55(17)32159880,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





DIBRACAM COMERC.,Servicepartner,"AVENIDA DOS ESTADOS, 1900, 09220-570 SANTO ANDRE, Brasilien, , ",+55(11)49937000,,florival.mariano@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





DIVISA DIVINOPOLIS,Servicepartner,"AV. AUTORAMA, 1133, 35501-221 DIVINOPOLIS, Brasilien, , ",+55(37)32294400,,marcio.kraus@volkswagen.com.br,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





