Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
AUTOMOTRIZ VARONA LTDA.,Servicepartner,"José Miguel Carrera 333, 5950000 Coyhaique, Chile, , ",+ 56 (67) 223 1010,,automotriz@varona.cl,http://www.varona.cl,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





CARMONA Y CIA. LTDA.,Servicepartner,"Panamericana Norte N°149, 1530000 Copiapó, Chile, , ",+ 56(52) 223 5306,,cvalenzuela@carmonaycia.cl,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





CARMONA Y CIA. LTDA.,Servicepartner,"Ruta 5 Norte Km. 470, Parcela 6, Lote 1A, 1700000 La Serena, Chile, , ",+ 56(51) 228 8101,,cvalenzuela@carmonaycia.cl,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





PORSCHE INTER AUTO CHILE SPA,Servicepartner,"Pdte. Eduardo Frei Montalva N° 20700, 9340000 Santiago, Chile, , ",+ 56(600)7127000,,pia.infante@porsche-chile.cl,http://www.manchile.cl,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





PORSCHE INTER AUTO CHILE SPA,Servicepartner,"Edmundo Pérez Zujovic N° 5140, 1240000 Antofagasta, Chile, , ",+ 56(55) 246 6270,,gleidy.cardenas@porsche-chile.cl,http://www.manchile.cl,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





PORSCHE INTER AUTO CHILE SPA,Servicepartner,"Camino a Coronel – Km. 10, 4030000 Concepcion, Chile, , ",+ 56(41) 380 1230,,daniela.vidal@porsche-chile.cl,,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





PORSCHE INTER AUTO CHILE SPA,Servicepartner,"Parcela 11 Ruta 5, 5610000 Llanquihue, Chile, , ",+ 56(65) 220 4000,,elizabeth.pacheco@porsche-chile.cl,http://www.manchile.cl,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





SOLUCIONES DE TRANSPORTE WINTATA SPA,Servicepartner,"Av. Las Parcelas con Caletera Ruta A-16, 1130000 Alto Hospicio, Chile, , ",+ 56(57) 249 5614,,ventas@wintata.cl,http://www.wintata.cl,yes,yes,no,,,yes,yes,,,,,,,,,,,,,,,,,,





