Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ANTOTO OTOMOTIV OTO KIR. TAS. PETROL INS. VE TUR. SAN. TIC. A.S.,Servicepartner,"Yeşilbayır Mah. Akdeniz Bulvarı No:96 1066 Ada 1 Parsel Döşemealtı, 07100 Antalya, Türkei, , ",+90(242) 443 32 33,+90(242) 443 32 34,antoto@man.com.tr,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





AY-MAN OTOM. PETROL SAN.TIC.LTD.STI.,Servicepartner,"Yeşilyurt Mah. Diyarbakir Cad. Keklikepe Mevkii, 23300 Elazığ, Türkei, , ",+90(424) 224 80 80,+90(424) 224 27 18,ayman@man.com.tr,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,
Fatih Somay,Geschäftsführer,Telefon: +90 (424) 224 80 80,Mobil: -,Fax: +90 (424) 224 27 18,E-Mail: ayman@man.com.tr,            





BAKILER MAN,Servicepartner,"İzmit San. Sit. 307 Blok No 43-45, 41100 KOCAELİ, Türkei, , ",+90(262)3350348,+90(262) 3350220,bakilerman@gmail.com,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





CAN KARDEŞLER OTOMOTIV,Servicepartner,"Akçeşme Mh. Çiğdem Sok. No: 8, 20100 DENIZLI, Türkei, , ",+90(258)2513507-08-09,+90(258)2513510,cankardesler@man.com.tr,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





DIYARMAN OTOM.PET.INS. SAN.TIC.LTD.STI.,Servicepartner,"Sanliurfa Yolu 8. Km., 21100 Diyarbakır, Türkei, , ",+90(412)2550834,+90(412)2550832,diyarman@man.com.tr,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





DOĞU -TRANS OTOMOTIV MAKINE SERVIS INSAAT SAN. TIC.LTD.STI,Servicepartner,"Tortum Yolu Uzeri Saglık Ocagi Yani, 25100 ERZURUM, Türkei, , ",+90(442) 243 04 20,+90(442) 243 05 29,dogutrans@man.com.tr,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





DÖŞMAN OTOMOTIV TIC. VE SAN. A.Ş.,Servicepartner,"Yukaribeylerbeyi Mh.Yavuzeli Cd.No:161 Sehitkamil, 27170 Gaziantep, Türkei, , ",+90(342)4442093,+90(342)4281175,dosman@man.com.tr,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





EGEMAN SERVIS VE YEDEK PARCA SAN. VE TIC. AS,Servicepartner,"7412 Sok. No. 84 / C 5. Sanayi Sitesi Pınarbaşı Bornova, 35100 Izmir, Türkei, , ",+90 (232) 479 42 37,+90 (232) 479 65 78,egeman@man.com.tr,,yes,yes,no,yes,no,,,,,,,,,,,,,,,,,,,,





GÜZELLER MAN SERVISI,Servicepartner,"Adana Yolu Uzeri 7. km, 68100 AKSARAY, Türkei, , ",+90(382) 2454361,+90(382) 2454362,guzeller@man.com.tr,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





