Company Name,Service Partner,Address,Phone Number,Fax,Email,Website,LKW-Service,Bus-Service,MAN Van-Service,Schiffsmotoren-Service,Industriemotoren-Service,LKW-Verkauf,Bus-Verkauf,MAN Van-Verkauf,Schiffsmotoren-Verkauf,Industriemotoren-Verkauf,LKW-MAN_TopUsed,Bus-MAN_TopUsed,MAN Van-MAN_TopUsed,Schiffsmotoren-MAN_TopUsed,Industriemotoren-MAN_TopUsed,LKW-BusTopService,Bus-BusTopService,MAN Van-BusTopService,Schiffsmotoren-BusTopService,Industriemotoren-BusTopService,LKW-eMobility,Bus-eMobility,MAN Van-eMobility,Schiffsmotoren-eMobility,Industriemotoren-eMobility
ADTRANS GOSFORD,Servicepartner,"21 Merinee road, 2250 West Gosford, Australien, , ",+61(2)43233879,+61(2)43234095,jmorgan@adtranshino.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BATHURST TRUCK & TRACTOR,Servicepartner,"85 - 87 Sydney Rd., 2795 Bathurst, Australien, , ",+61(2) 6332 5522,+61(2) 6332 2094,jtmc@lisp.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BLACK TRUCK AND AG GOONDIWINDI,Servicepartner,"Lot 21, 4 Troy Drive, 4390 Goondiwindi, Australien, , ",+61(7)46713512,,workshopgdi@blacktrucksales.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BLACK TRUCK AND AG ROMA,Servicepartner,"Lot 4 Lindsey Court, 4455 Roma, Australien, , ",+61(7)46228288,,sales@blacktrucks.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





BRUNT TRUCK REPAIRS,Servicepartner,"Henty Highway, 3393 Warracknabeal, Australien, , ",+61(3)53981244,+61(3)53982099,brunttruckrepairs@bigpond.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





BUNDY STAR TRUCK & MACHINERY,Servicepartner,"1b Princess Street, 4670 Bundaberg, Australien, , ",+61(7) 4131 6700,+61(7) 4131 6799,admin@bundytrucks.com.au,http://www.bundytrucks.com.au/,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





C & I TRANSPORT REPAIRS PTY LTD,Servicepartner,"430 Hobart Rd., 7250 Launceston, Australien, , ",+61(3) 6344 7944,+61(3) 6344 7955,citrans@bigpond.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





DWYERS TRUCK AND TRAILER NOWRA,Servicepartner,"23 Central Avenue, 2540 South Nowra, Australien, , ",+61(2)44230630,,nowra@dwyerstruckcentre.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





FERGUSON'S DIESEL SERVICES PTY LIMITED,Servicepartner,"365 Commercial Street West, 5290 Mount Gambier, Australien, , ",+61(8) 8723 9169,+61(8) 8724 7078,fergusondiesel@bigpond.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GIBBS TRUCK AND TRAILER PARTS,Servicepartner,"Unit 46, 38 Kendor Street, 4214 Arundel, Australien, , ",+ 61 (0)755009555,,chrisg@gibbsparts.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





GRAFTON DIESEL REPAIRS PTY LTD,Servicepartner,"41 Lillypool Rd., 2460 South Grafton, Australien, , ",+61(2) 6642 4533,,gdrgrafton@acecommunications.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





HARTWIGS TRUCKS PTY LIMITED GRIFFITH,Servicepartner,"8 - 14 Oaks Road, 2680 Griffith, Australien, , ",+61(2) 6961 0000,+61(2) 6961 0022,thartwig@hartwigs.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





HARTWIGS TRUCKS PTY LIMITED SHEPPARTON,Servicepartner,"320 Midland Highway, 3632 Shepparton, Australien, , ",+61(3) 5820 7800,+61(3) 5820 7811,thartwig@hartwigs.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





HARTWIGS TRUCKS PTY LTD. ALBURY,Servicepartner,"1 Travel Stop Way, 2641 Lavington, Albury, Australien, , ",+61(2) 6049 6000,+61(2) 6049 6011,thartwig@hartwigs.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





HARTWIGS TRUCKS PTY LTD. DUBBO,Servicepartner,"15 Purvis Lane, 2830 Dubbo, Australien, , ",+61 (2) 6885 8200,+61 (2) 6882 4583,thartwig@hartwigs.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





HARTWIGS TRUCKS PTY LTD. QUEANBEYAN,Servicepartner,"156 Uriarra Road, 2620 Queanbeyan, Australien, , ",+61(2) 62972888,+61 (2) 62975606,thartwig@hartwigs.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





HARTWIGS TRUCKS PTY LTD. WAGGA WAGGA,Servicepartner,"266 Hammond Avenue, 2650 Wagga Wagga, Australien, , ",+61 (2)69 37 85 00,+61(26)9378588,thartwig@hartwigs.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





HI-WAY 1 TRUCK CENTRE GYMPIE,Servicepartner,"Corner Bruce Highway & Laurenceson Rd., 4570 Gympie, Australien, , ",+61(7) 5480 5000,+61(7) 5482 2023,djurss@hi-way1.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





INDUSTRIAL REPLACEMENTS,Servicepartner,"1 Sharon Road, 2536 Batemaans Bay, Australien, , ",+61(2)44725618,,sales@industrialreplacements.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





LIVINGSTONE TRUCK REPAIRS,Servicepartner,"19 Lawless Street, 3875 Bairnsdale, Australien, , ",+61(3) 5152 1100,+61(3) 5152 1140,neal@livingstonetrucks.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MARSHALL GROUP PTY LTD,Servicepartner,"339 Benetook Avenue, 3500 Mildura, Australien, , ",+61(3)50231701,,nick@ngmgroup.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





MIDLAND TRUCK AND BUS,Servicepartner,"42 Crooked Billet Drive, 7030 Bridgewater, Australien, , ",+61(3) 6263 4333,+61(3) 6263 4555,phildodge@midlandtruckandbus.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





NORTH STAR MOTORS (NSW) PTY LTD,Servicepartner,"337 Pacific Hwy, 2324 Heatherbrae, Australien, , ",+61 (2)4980 0622,+61(24)9800645,mark@northstarmotors.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





NORTH STAR MOTORS PTY LTD. TAMWORTH,Servicepartner,"25 Gunnedah Rd., 2340 Tamworth, Australien, , ",+61(2) 6762 2133,+61(2) 6762 2144,glenn@machinerysales.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





PATTERSON CHENEY TRUCK CENTER,Servicepartner,"55 Kirkham Road West, 3175 Dandenong, Australien, , ",+61(3) 9215 2222,+61(3) 9703 3399,terryj@westartrucks.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - BRISBANE,Servicepartner,"196 Viking Drive Wacol, 4076 Brisbane, Australien, , ",+61(7)38776060,,enquiries@penskeps.com,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - CAIRNS,Servicepartner,"18 Redden Street, 4870 Portsmith, Australien, , ",+61(7)40429200,,dkalkat@penskeps.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - DARWIN,Servicepartner,"18 Mendis Road, 0822 East Arm, Darwin, Australien, , ",+61(8)89843155,+61(8)89844301,stalbot@penskeps.com,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - HUNTER VALLEY,Servicepartner,"42-44 Enterprise Crescent, 2330 McDougalls Hill, Australien, , ",+61(02)65721012,,huntervalleyparts@penskeps.com,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - KALGOORLIE,Servicepartner,"54 Kakarra Road, 6430 Kalgoorlie, Australien, , ",+61(8)90211999,,mbaxter@penskeps.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - MACKAY,Servicepartner,"17 Commercial Avenue, 4740 Mackay, Australien, , ",+61(7)49528500,,tbrodrick@penskeps.com,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - PERTH,Servicepartner,"22 Stockyards Lane, 6055 Hazelmere, Australien, , ",+61(9)9273 7700,,mbrogle@penskeps.com,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - SYDNEY,Servicepartner,"78-82 Riverside Road, 2170 Chipping Norton, Australien, , ",+61(2)97942600,,enquiries@penskeps.com,,yes,yes,no,,,yes,,,,,,,,,,,,,,,,,,,





PENSKE POWER SYSTEMS - TOWNSVILLE,Servicepartner,"Cnr Ingham Road and Ronald Court, 4814 Mount Louisa, Australien, , ",+61(7)47744977,,cmatthews@penskeps.com,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





PJ&T MOTORS PTY LTD,Servicepartner,"319 Portarlington Road, 3224 Moolap, Australien, , ",+61(3)52484466,+61(3)52483484,pjt@pjtmotors.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





PNG COMMERCIAL VEHICLES,Servicepartner,"11 mile, 411 Lae, Morobe Province PNG, Australien, , ",+67(5)32682033,,contact@nkwgroup.com.pg,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SIEDERS TRUCK REPAIRS PTY.LTD.,Servicepartner,"1 White Place, 2756 Windsor South, Australien, , ",+61 (2)4577 5911,+61(24)5776959,accounts@siederstruckrepairs.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SOUTHSIDE TRUCK CENTRE PTY LTD,Servicepartner,"1 Krauss Ave., 2480 South Lismore, Australien, , ",+61(2) 6627 6080,+61(2) 6627 6099,admin@ssagencies.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





SOUTHSIDE TRUCK CENTRE. COFFS HARBOUR,Servicepartner,"28 Englands Road, 2450 Coffs harbour, Australien, , ",+61(2)66530900,,markd@southsidetrucks.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





SWAN HILL TRUCK SERVICE,Servicepartner,"5 Shepherd Rd., 3585 Swan Hill, Australien, , ",+61(3) 5033 1501,+61(3) 5033 1502,shtspart@bigpond.net.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





TOOWOOMBA TRUCK SPARES,Servicepartner,"501 Boundry Street, 4350 Toowoomba, Australien, , ",+61(7) 4633 1305,+61(7) 4633 1517,scott@pengelly.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





WAKEFIELD TRUCKS PTY LTD,Servicepartner,"1174-1180 Port Wakefield Road, 5110 Burton, Australien, , ",+61(8) 8280 8133,+61(8) 8280 6712,cumpherston@wakefieldtrucks.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





WB TRUCK N TRAILER PTY LTD,Servicepartner,"61 Main Road, 7320 Wivenhoe, Australien, , ",+61(3)64311511,+61(3)64311599,peter@wbtruck.com.au,,yes,no,no,,,,,,,,,,,,,,,,,,,,,,





WESTAR TRUCKS PTY LIMITED CAMPBELLFIELD,Servicepartner,"Cnr of hume Hwy & Northbourne Rd., 3061 Campbellfield, Australien, , ",+61(3) 9305 3155,+61(3) 9305 3362,terryj@westartrucks.com.au,,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,





WESTAR TRUCKS PTY LIMITED DERRIMUT,Servicepartner,"1 Australis Drive, 3030 Derrimut, Australien, , ",+61(3)93940000,,terryj@westartrucks.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,





WIDELAND TRUCKS & EQUIPMENT FOREST GLEN,Servicepartner,"50 Owen Creek Road, 4556 Forest Glen, Australien, , ",+61(7)54805000,,enquiry@widelandgroup.com.au,,yes,no,no,,,yes,,,,,,,,,,,,,,,,,,,




